INCIDENT_TYPE,IncidentRole,FILENUM,CASENUM,Time Occurred,Date Occurred,OCCURRED_DAY,STREET_N,STREET,CITY,STATE,ZIPCODE,PRECINCT,Incident Precinct,UoF_1,UoF_1_Zones,UoF_1_Effective,UoF_1_Deployed_Only,UoF_1_Arc_Display_Only,UoF_2,UoF_2_Zones,UoF_2_Effective,UoF_2_Deployed_Only,UoF_2_Arc_Display_Only,UoF_3,UoF_3_Zones,UoF_3_Effective,UoF_3_Deployed_Only,UoF_3_Arc_Display_Only,UoF_4,UoF_4_Zones,UoF_4_Effective,UoF_4_Deployed_Only,UoF_4_Arc_Display_Only,UoF_5,UoF_5_Zones,UoF_5_Effective,UoF_5_Deployed_Only,UoF_5_Arc_Display_Only,UoF_6,UoF_6_Zones,UoF_6_Effective,UoF_6_Deployed_Only,UoF_6_Arc_Display_Only,UoF_7,UoF_7_Zones,UoF_7_Effective,UoF_7_Deployed_Only,UoF_7_Arc_Display_Only,UoF_8,UoF_8_Zones,UoF_8_Effective,UoF_8_Deployed_Only,UoF_8_Arc_Display_Only,UoF_9,UoF_9_Zones,UoF_9_Effective,UoF_9_Deployed_Only,UoF_9_Arc_Display_Only,UoF_10,UoF_10_Zones,UoF_10_Effective,UoF_10_Deployed_Only,UoF_10_Arc_Display_Only,CIT_INFL_ASSMT,IN_BLUETEAM,STATUS,LL Used,40MM,BB,BB - OC,OC Can,OC Spray,CS Can,CS,Chem Other,FN303,BlueNose,Sting,NFDD,PB Launch,Baton,Orange,Other Wpn,Total
Level 2 - Use of Force,Officer,2020UOF-0894,2020-176553,0:00:00,5/29/20,Friday,2 Av,S Jackson st,seattle,WA,98104,K3 | KING | WEST,Demonstration,Control Hold – Takedown,"3, 5, 4",Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Impaired by Alcohol or Drugs,No,Suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Level 2 - Use of Force,Officer,2020UOF-0570,2020-176553,23:29:00,5/29/20,Friday,,1000 S Jackson ST,Seattle,WA,98118,K3 | KING | WEST,Demonstration,Personal Weapons – Punch/Elbow,"1, 1, 1",Yes,No,,Personal Weapons – Pressure Point,1,No,No,,Personal Weapons – Feet/Leg Kick/Knee,8,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Impaired by Alcohol or Drugs,No,Suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Level 2 - Use of Force,Officer,2020UOF-0638,2020-176553,0:20:00,5/30/20,Saturday,200,Jackson ST,Seattle,WA,98104,K2 | KING | WEST,Demonstration,Control Hold – Takedown,"16, 18",Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Impaired by Alcohol or Drugs,No,Suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Level 2 - Use of Force,Officer,2020UOF-0664,2020-176553,23:29:00,5/30/20,Saturday,,10 Ave S/S Jackson St,Seattle,WA,98112,K3 | KING | WEST,Demonstration,Personal Weapons – Punch/Elbow,8,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Impaired by Alcohol or Drugs,No,Suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Level 2 - Use of Force,Officer,2020UOF-0708,2020-176553,21:15:00,5/29/20,Friday,600 blk,5th,Seattle,WA,,,Demonstration,Control Hold – Takedown,"5, 3",Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,No,Suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Level 2 - Use of Force,Officer,2020UOF-0709,2020-176553,21:17:00,5/29/20,Friday,,600 Blk of 5 Av,Seattle,WA,,K1 | KING | WEST,Demonstration,Control Hold – Team Takedown,"20, 19",Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,No,Suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Level 1 - Use of Force,Officer,2020UOF-0742,2020-176553,20:30:00,5/29/20,Friday,800,5 AV,Seattle,WA,98104,,Demonstration,Handcuffing,3,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Level 2 - Use of Force,Officer,2020UOF-1025,2020-176553,19:30:00,5/29/20,Friday,,900 5 Av,Seattle,WA,,,Demonstration,Verbal Commands,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Initial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Level 2 - Use of Force,Officer,2020UOF-1662,2020-176553,19:30:00,5/29/20,Friday,,900 5 Av,Seattle,WA,,,Demonstration,Verbal Commands,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Level 2 - Use of Force,Officer,2020UOF-0569,2020-176553,1:25:00,5/30/20,Saturday,1150,Broadway Ave,Seattle,WA,98122,E2 | EDWARD | EAST,Demonstration,Blue Nose Device,12,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
